track_id,name,Lyric ID,Lyrics
3Yju1l0fQr8GmICqsXOIvv,Trailer,2875057,"I graduated high school  I bought her a trailer  In a little park by  The side of the road  I coulda' had the Army  I coulda' had the Navy  But no, I had to go for  A mobile home  Yes, I gave it all to you, babe  All to you and that trailer, too, babe  I kept up with my interest  I kept up my payments  She never said goodbye  I never asked why  Man, we used to dance to  Lynyrd Skynyrd  Aaaw, she used to look so  Good at times  Yes, I gave it all to you, babe  Wasn't room in that trailer for two, babe  I can't find a band-aid  That gives me an answer  That shines any light on  The way things went  I get by on my own time  I ain't cut out for workin'  I ain't cut out for nothin'  It pays my rent  I guess, I gave it all to you, babe  All to you, and that trailer, too, babe...  O-oooh..."
6s1iHcUUGugZXeaFB9kM61,Dreams of Flying,2875060,"See the bright lights of Memphis  I gotta friend lives down there  And I don't know  If I'll go back again  Givin' up, feels like dying  I get dreams of flying...  I get dreams of flying...  Whatcha do lies behind us  Better roll your window down  And let it go  Crashing down the ro-o-oad  Truth is it ain't worth lying    Got a diamond on my finger  Got a sapphire through my ear  And for all I know  I might go back again  See what's in there hiding...    Oooh I get dreams of flying...  Yeah I get dreams of flying...  Oh-well-I get dreams of flying...  O-oooh..."
2Qni7kjHCTL9b0SmthVuIa,Beautiful Blue,2875066,"The shadows from the footlights made you fifty foot tall  I watched you as the music bounced around the hall  You called me in the morning and sent your car for me  I stumbled as I kissed you dropping ashes in your tea  I wanna wrap you up in a beautiful blue  I wanna wrap you up in a beautiful blue  Oh, I wanna wrap you up in a beautiful blue  I do, I do  Around you there’s a color  A shade unlike the rest  You’re laughing and you’re easy  The way I know you best    Gonna move outside the city  I know some friends out there  In a tree with painted bottles  Watch the sun dance on your hair  "
6A4oqSvRbB18eGYYzZTbWE,Beautiful World,2875078,Woke up this morning  I was thinking about it  I was thinking about a life  Yeah the one that we're livin'  And the one that we're given  And the things that turn out right  Like the stars above me  And the sun that's shining  I don't always understand  But with you beside me  And the love to guide me  I guess I'll make my stand  It's a beautiful world  So hold me tight  I had to fight  Every day of my life  It's a beautiful world  Take it for granted  That I'm off to the ocean  Floating around the sea  So much before me  And there's so much behind me  In this world of mystery    Many a man has been broken  Feeling what I feel for you  Many a promise been spoken  Over youuu...over youuuu...  Over youuu...over youuuu...  Woke up this morning  I was thinking about it  I was thinking about the life  Yeah the one that we're livin'  And the one that we're given  And the things that turn out right    So hold me tight  I had to fight every day of my life  It's a beautiful world
0GymDeMvuzY0GxLYcjsunB,I Forgive It All,2875081,"Take my horse down to the water  Let him graze awhile  Take my horse down to the water  Let him graze awhile  I have not been down these roads since I was a child  I ain't broke and I ain't hungry but I'm close enough to care  I ain't broke and I ain't hungry but I'm close enough to care  Send my things to my niece Laura  She'll keep 'em over there  I forgive it all, I forgive it all  With her, I forgive it all  There ain't no money in this deal, I just tag along  There ain't no money in this deal, I just tag along  Some things I feel right, somebody else thinks wrong  I forgive it all, I forgive it all  On this earth, I forgive it all  People are what people make em', and that ain't gonna change  People are what people make 'em, and that ain't gonna change  There ain't nothing you can do, nothing you could rearrange    On this earth, I forgive it all"
1mhTdrIRcHCmOo5OvbI2iT,The Other Side of the Mountain,2875085,"  I'm over here missing you today  Are you feeling the same way too?  Sometimes it seems like you're so far away  And I just don't know what I can do  On the other side of the mountain  Where I long, I long to be, to be with you  But this mountain that's there between us  Makes it so hard, so hard to see  To see it through    The life we had grows distant now  You let me in so close, so long  When your spirit moves 'round the room  I can't help but do the right thing wrong  If I could only find a way  I'd be headed over there to your side  But until the mountain moves I can only pray  And you know I won't be satisfied      If I could slide through these bars  I'd go back and cross that burning bridge  Just to hold you in my arms  I'd find a way to grab that rocky ridge  "
5e84DUsUEBCZF6ydmfsege,Hope,2875086,"You gimme hope  You give me violins  You set me free  You forgive my sins  And one day I'll  Pay you back  For showing me  The world ain't bla-a-ack  You give me hope  You help me even out  Without tryin'  You take away my doubt  I know, I gotta friend  When I'm lost in the wi-i-ind  YEAH!....OH!  You give me hope  That there's another side  You give me dreams  You gimme back my pride  One day I'll  Pay you back  For showing me  The world ain't bla-a-ack  YEAH   YEEEAH   And I need it...  Oh and I need it...      Owwww!"
3skNuW8MpudkUsZbkvf4Pb,Welcome to Hell,2875087,"Welcome to Hell, population me  Local attraction,  the heartbreak sea  The smell in the air, of night bloom and despair  By the dry wishing well  Ah, welcome to Hell  A plain little house, on a plain little road  At the corner of Done, and Where'd It All Go?  Time crawls by, with a shudder and moan  It don't look like much  But it's a heck of home  Ah, welcome to Hell  Population two  Little old me, and the lack of you  See the hole in the bed  Where you no longer sleep  In the chamber of promises  We just couldn't keep  What ever happened to the sweet little heaven  Where we lived and loved so long?  Where in the world are the man and the woman  Who danced to their favorite song?  Gone, gone, gone to Hell  Even the devil wept  Uh, when he heard  The depth of our unhappiness  Then he dried a tear  And he sighed ""Aw well  Where do you think you are boy?  Welcome to Hell""    Every lonely soul  Has a sad story to tell  ""Where do you think you are boy?  Welcome to Hell""  ""Where do you think you are boy?  Welcome to Hell"""
7pYt6BwHrkUFIdWrwU2oNh,Save Your Water,2875089,"Well you're right that no one informed ya'  I guess I should have warned ya', it's all a contest  And you said they all wanted to hide ya'  But when they got deep inside ya', it's a big mess  And you know me better now and you see I'm in the middle  And you don't know why or how but you sold me down your river  And I'm just plain old sandwiched in between  So save your water woman I won't drink out of your stream  Well the shouts of a thousand disciples and the brass Winchester rifles, brought the house down  And I know that I don't concern you, but life's got a way it can burn you, ya' lose the high ground    You're a match that I have burned, you're a page that I have turned, and you know the rest  And I'd never steal your water, it was your whining boss-man's daughter, your half-brother confessed    Yeah, save your water woman I won't drink out of your stream"
7bUM7a7d5U9gDaNMoJXCQf,Victim of Circumstance,2875090,"Rollin' down easy Highway 49  Out of body and out of mind  I might get lost I might be found  Ain't no way of knowin' I'm California bound  Ridin' with the breeze  Through the dogwood trees  Rollin' down easy   Baby won't you please  Give me one more chance  Give me one more chance  I'm just a victim of circumstance  Yeah, rollin' down easy, low on gas  Pedal to the metal trying to make it last  I might get stranded New Mexico  Slash my tires and air is runnin' low  "
2geepGabaz12rtDvDpwXIM,Hungry No More,2875091,"Won't be there when winter comes  I ain't holdin' out my hands  Over a fire in a can, over a fire in a can  Goliath was tall, King David was small  You can't live on nothin' at all  You can't live on nothin' at all  And I ain't gon' be hungry no more  No, I ain't gon' be hungry no more  This town broke my heart  Then just carried on  Like nothin' happened at all  Like nothin' happened at all    Nobody cry for me  Ain't nothin' to it now  The world will turn somehow  The world will turn somehow    No more"
4mcZYzoGwPRDdhWVlygiHf,Refugee,108080,"We got somethin', we both know it  We don't talk too much about it  Ain't no real big secret all the same  Somehow we get around it  Listen, it don't really matter to me, baby  You believe what you want to believe  You see, you don't have to live like a refugee    Somewhere, somehow, somebody  Must have kicked you around some  Tell me why you wanna lay there  And revel in your abandon  Honey, it don't make no difference to me, baby  Everybody's had to fight to be free    Baby, we ain't the first  I'm sure a lot of other lovers been burned  Right now this seems real to you  But it's one of those things  You gotta feel to be true  Somewhere, somehow, somebody  Must have kicked you around some  Who knows, maybe you were kidnapped  Tied up, taken away, and held for ransom  Honey, it don't really matter to me, baby  Everybody's had to fight to be free  "
