Group_Name_artist_album,Years_Active_artist_album,album_id,Hit,url_album,release_date_album,name_album,track_id,name_track,popularity_track,spotify_embed_url_track,popularity_album,artist_id_artist_album,duration_ms_track,explicit_track,acousticness_tf,danceability_tf,energy_tf,instrumentalness_tf,key_tf,liveness_tf,loudness_tf,mode_tf,speechiness_tf,tempo_tf,time_signature_tf,valence_tf
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,1,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),7tSt526i6jm3zmhUfbXZHX,Saving Grace,44,https://embed.spotify.com/?uri=spotify:track:7tSt526i6jm3zmhUfbXZHX,45,2UZMlIwnkgAEDBsw1Rejkn,226200,FALSE,0.137,0.33,0.798,0.000269,2,0.13,-4.23,1,0.0381,142.287,4,0.78
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,1,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),4MXCpUjTFXgbmANvLzdVVl,Square One,43,https://embed.spotify.com/?uri=spotify:track:4MXCpUjTFXgbmANvLzdVVl,45,2UZMlIwnkgAEDBsw1Rejkn,204826,FALSE,0.794,0.769,0.305,0,6,0.133,-10.56,1,0.0311,109.205,4,0.264
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),2C2QJ1kBUKQu6Iby6RvD2V,Flirting With Time,39,https://embed.spotify.com/?uri=spotify:track:2C2QJ1kBUKQu6Iby6RvD2V,45,2UZMlIwnkgAEDBsw1Rejkn,194466,FALSE,0.0784,0.592,0.746,0,7,0.194,-3.039,1,0.0297,119.229,4,0.676
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,1,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),6p7KoBh8MokMaKBPJrIzPu,Down South,40,https://embed.spotify.com/?uri=spotify:track:6p7KoBh8MokMaKBPJrIzPu,45,2UZMlIwnkgAEDBsw1Rejkn,205333,FALSE,0.0262,0.663,0.683,0.000186,2,0.107,-5.421,1,0.0251,111.361,4,0.824
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),0fsotzgUEEi5x8tySnRy8f,Jack,37,https://embed.spotify.com/?uri=spotify:track:0fsotzgUEEi5x8tySnRy8f,45,2UZMlIwnkgAEDBsw1Rejkn,148586,FALSE,0.322,0.869,0.484,3.99E-06,2,0.103,-6.483,1,0.032,115.206,4,0.705
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),4dvALqAQM2qnmEcnhJ2Vfz,Turn This Car Around,38,https://embed.spotify.com/?uri=spotify:track:4dvALqAQM2qnmEcnhJ2Vfz,45,2UZMlIwnkgAEDBsw1Rejkn,238360,FALSE,0.258,0.733,0.331,0.00147,2,0.136,-4.895,1,0.0289,144.371,4,0.679
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),3Mtqb820UdJnRk0gn70oKO,Big Weekend,36,https://embed.spotify.com/?uri=spotify:track:3Mtqb820UdJnRk0gn70oKO,45,2UZMlIwnkgAEDBsw1Rejkn,195426,FALSE,0.0242,0.581,0.912,0.00014,2,0.2,-3.576,1,0.0324,97.171,4,0.836
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),49XpWZO5HVebXqtJIZdh1U,Night Driver,36,https://embed.spotify.com/?uri=spotify:track:49XpWZO5HVebXqtJIZdh1U,45,2UZMlIwnkgAEDBsw1Rejkn,267346,FALSE,0.27,0.658,0.602,0,2,0.0812,-5.919,1,0.0231,98.125,4,0.536
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),0nmdWx4vUUBg33w3TAqWdF,Damaged By Love,39,https://embed.spotify.com/?uri=spotify:track:0nmdWx4vUUBg33w3TAqWdF,45,2UZMlIwnkgAEDBsw1Rejkn,202973,FALSE,0.101,0.557,0.64,7.56E-05,9,0.0848,-6.653,1,0.023,86.189,4,0.548
Tom Petty (solo),1989-2006,1CvE8Bp9CDOArk2aL3NuC4,0,https://i.scdn.co/image/bfe6a8066ddef180ea36d2770d36c52e0592433d,7/21/2006,Highway Companion (U.S. Version),2OeRc8W4G3ILCDsAefDTWE,This Old Town,37,https://embed.spotify.com/?uri=spotify:track:2OeRc8W4G3ILCDsAefDTWE,45,2UZMlIwnkgAEDBsw1Rejkn,255840,FALSE,0.187,0.791,0.499,6.34E-06,0,0.0954,-5.681,1,0.029,136.296,4,0.59
